tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,brand,product,region,sentiment,confidence,priority,conversation_id,topic_keywords,intent,pain_point,issue_type,response_time_minutes,fcr,escalated,reopened
16517,Tesco,False,2017-11-01 03:46:56,"sorry to see that charlie, did you manage to place your order? - ceri",16518,16519,Tesco,Social Support,Global,negative,0.9,high,C16517,Delivery or order issue,delivery,Delivery or order issue,customer_service,0.0,0,0,1
16828,AmazonHelp,False,2017-11-01 11:58:53,what was the estimated delivery date provided in the order confirmation e-mail? ^mj,16829,16826,AmazonHelp,Social Support,Global,positive,0.9,normal,C16828,Delivery or order issue,delivery,Delivery or order issue,customer_service,0.0,0,0,1
17192,AmazonHelp,False,2017-11-01 05:24:00,twitter being a public platform we do not have access to your order details. (1/2) ^si,17193,17190,AmazonHelp,Social Support,Global,positive,0.9,normal,C17192,Delivery or order issue,delivery,Delivery or order issue,customer_service,0.0,0,0,1
16829,119702,True,2017-11-01 11:59:11,my guaranteed delivery date was monday.,16830,16828,119702,Social Support,Global,positive,0.9,normal,C16829,Delivery or order issue,delivery,Delivery or order issue,customer_service,4.283333333333333,0,0,0
17008,119748,True,2017-11-01 03:55:18,when you order half chicken/half yourself at chipotle...yikes,17007,0,119748,Social Support,Global,positive,0.9,normal,C17008,Delivery or order issue,delivery,Delivery or order issue,customer_service,5.316666666666666,0,0,0
17017,119753,True,2017-11-01 03:57:31,wish i could sleep but im having to wait for to delivery my delayed baggage. i paid $25 to have them leave my luggage behind.,17016,0,119753,Social Support,Global,negative,0.9,high,C17017,Delivery or order issue,delivery,Delivery or order issue,customer_service,12.533333333333331,0,0,0
17242,119796,True,2017-11-01 04:44:28,i have shared the details i need immediate solution for this i have to give order today,17243,17241,119796,Social Support,Global,positive,0.9,normal,C17242,Delivery or order issue,delivery,Delivery or order issue,customer_service,7.433333333333334,0,0,0
16909,Uber_Support,False,2017-11-01 04:10:50,"we deliver the food you want, from the restaurants you love, at uber speed. learn more at",16910,16911,Uber_Support,Social Support,Global,positive,0.9,normal,C16909,Delivery or order issue,delivery,Delivery or order issue,customer_service,0.0,0,0,1
17208,AmazonHelp,False,2017-10-31 06:05:28,"if the factors do not provide the feasibility of a guaranteed delivery, the option will not be available. (2/2) ^zh",17207,17209,AmazonHelp,Social Support,Global,positive,0.9,normal,C17208,Delivery or order issue,delivery,Delivery or order issue,customer_service,0.0,0,0,1
17237,119795,True,2017-11-01 04:12:39,"hey please tell your vendors that addressing packages to customer ""or current resident"" is not acceptable shipping procedures.",17236,0,119795,Social Support,Global,positive,0.9,normal,C17237,Delivery or order issue,delivery,Delivery or order issue,customer_service,12.35,0,0,1
16725,119691,True,2017-11-01 01:22:53,"i'm just a little curious to know what time is 's ""end of day""? it's past dinner time and still no delivery of my .",16724,0,119691,Social Support,Global,negative,0.9,high,C16725,Delivery or order issue,delivery,Delivery or order issue,customer_service,144.98333333333332,0,0,0
16825,AmazonHelp,False,2017-11-01 04:04:00,"two-day shipping refers to transit time, in business days, once shipped. did we miss our mark? ^be",16826,16827,AmazonHelp,Social Support,Global,negative,0.9,high,C16825,Delivery or order issue,delivery,Delivery or order issue,customer_service,0.0,0,0,1
17211,AmazonHelp,False,2017-10-31 05:41:31,"could you please confirm, if we've missed the estimated delivery date? ^ag",17209,17212,AmazonHelp,Social Support,Global,positive,0.9,normal,C17211,Delivery or order issue,delivery,Delivery or order issue,customer_service,0.0,0,0,1
16520,Tesco,False,2017-11-02 03:09:54,"hi charlie, i am sorry, have you managed to place the order now? can you please sign out, clear the cache and cookies and try again? chris",0,16518,Tesco,Social Support,Global,positive,0.9,high,C16520,Delivery or order issue,delivery,Delivery or order issue,customer_service,0.0,0,1,1
16552,119652,True,2017-10-30 14:16:32,seeing that others iphone x orders are shipping. should i be concerned that mine is still being processed?,0,0,119652,Social Support,Global,positive,0.9,normal,C16552,Delivery or order issue,delivery,Delivery or order issue,customer_service,0.0,0,0,0
16722,UPSHelp,False,2017-11-01 03:49:32,"hi there. if you need any assistance with a delivery, please dm us your tracking # contact info. ^ks",0,16723,UPSHelp,Social Support,Global,positive,0.9,normal,C16722,Delivery or order issue,delivery,Delivery or order issue,customer_service,0.0,0,0,1
16811,AmazonHelp,False,2017-11-03 03:52:10,sorry to know about the delay with the order. i understand you wish to cancel the order. we can't gain access to your (1/3) ^ka,0,16808,AmazonHelp,Social Support,Global,negative,0.9,high,C16811,Delivery or order issue,delivery,Delivery or order issue,customer_service,0.0,0,0,1
16864,AmazonHelp,False,2017-10-19 04:10:00,"please don't provide your order details, we consider it to be personal information. our page is visible to the public.^sf",0,16866,AmazonHelp,Social Support,Global,positive,0.9,normal,C16864,Delivery or order issue,delivery,Delivery or order issue,customer_service,0.0,0,0,1
16866,119703,True,2017-10-19 03:45:18,order id-407-2808023-6902735 mails already done,0,16869,119703,Social Support,Global,positive,0.9,normal,C16866,Delivery or order issue,delivery,Delivery or order issue,customer_service,0.0,1,0,0
16879,AmazonHelp,False,2017-10-18 17:09:29,please don't provide your order details as we consider it personal information. our twitter page is visible to public. ^sq,0,16882,AmazonHelp,Social Support,Global,positive,0.9,normal,C16879,Delivery or order issue,delivery,Delivery or order issue,customer_service,0.0,0,0,1
16882,119704,True,2017-10-18 16:31:48,": what type of product are you selling, we could have died.product was in use and then a blast order no - 407-2808023-6902735",0,0,119704,Social Support,Global,negative,0.9,high,C16882,Delivery or order issue,delivery,Delivery or order issue,customer_service,0.0,0,0,0
16960,119727,True,2017-11-01 01:34:59,why must your equipment mess up when i'm watching but not during my husband's 7 hour binge fest of law and order? #grr,16958,0,119727,Social Support,Global,negative,0.9,high,C16960,Delivery or order issue,delivery,Delivery or order issue,customer_service,156.9,0,0,0
17000,TMobileHelp,False,2017-11-01 04:10:24,let's go over your order! send me a dm. :) *mikevance,0,17001,TMobileHelp,Social Support,Global,positive,0.9,normal,C17000,Delivery or order issue,delivery,Delivery or order issue,customer_service,0.0,0,0,1
